,distance
1319,6906
1320,5168
1321,9091
1322,6906
1323,9091
1324,5659
1325,6624
1326,8163
1327,6624
1328,6906
1329,5921
1330,6980
1331,4338
1332,6980
1333,14446
1334,9091
1335,14446
1336,7633
1337,7633
1338,6906
1339,5009
1340,8465
1341,6980
1342,6980
1343,5524
1344,6980
1345,6906
1346,14446
1347,6906
1348,14446
1349,7633
1350,6980
1351,14446
1352,7633
1353,5659
1354,14446
1355,6906
1356,5524
1357,7633
1358,7633
1359,5524
1360,6906
1361,14446
1362,7633
1363,6906
1364,7134
1365,7633
1366,6906
1367,14446
1368,14446
1369,14325
1370,5524
1371,7633
1372,5659
1373,6624
1374,6339
1375,7633
1376,5524
1377,14446
1378,6980
1379,9091
1380,8608
1381,9091
1382,5524
1383,3989
1384,5524
1385,7633
1386,5168
1387,5168
1388,6074
1389,6980
1390,6906
1391,6339
1392,6624
1393,7134
1394,3213
1395,9091
1396,7633
1397,7633
1398,7633
1399,14446
1400,2162
1401,7633
1402,7633
1403,7633
1404,5524
1405,5524
1406,5659
1407,7633
1408,7633
1409,4614
1410,7633
1411,7633
1412,5168
1413,7633
1414,7633
1415,7633
1416,6624
1417,3213
1418,6980
1419,6624
1420,5168
1421,14446
1422,14446
1423,5524
1424,6339
1425,9091
1426,9091
1427,7633
1428,7134
1429,7633
1430,14446
1431,5168
1432,4961
1433,5168
1434,6339
1435,6624
1436,7633
1437,5168
1438,9091
1439,7134
1440,14446
1441,6624
1442,5921
1443,4961
1444,5524
1445,9091
1446,6339
1447,6339
1448,6980
1449,6906
1450,8608
1451,5659
1452,6906
1453,7633
1454,7633
1455,9091
1456,6624
1457,6906
1458,5524
1459,6980
1460,7633
1461,6624
1462,6624
1463,6624
1464,9091
1465,8163
1466,6624
1467,9091
1468,7633
1469,6906
1470,5921
1471,7633
1472,11824
1473,9091
1474,5659
1475,9091
1476,6906
1477,6906
1478,6624
1479,5659
1480,9091
1481,9091
1482,6624
1483,6624
1484,5009
1485,6906
1486,6906
1487,6906
1488,6906
1489,9091
1490,9091
1491,6906
1492,6906
1493,7633
1494,7633
1495,6339
1496,6624
1497,9091
1498,9091
1499,5524
1500,9091
1501,14446
1502,6906
1503,7633
1504,5008
1505,6624
1506,5921
1507,6906
1508,6339
1509,9091
1510,14446
1511,7633
1512,9091
1513,9091
1514,7467
1515,7467
1516,7633
1517,7633
1518,7633
1519,7134
1520,5659
1521,6980
1522,5659
1523,6906
1524,5659
1525,7633
1526,6624
1527,14446
1528,5524
1529,5659
1530,7633
1531,9091
1532,14446
1533,5659
1534,14446
1535,5659
1536,6339
1537,9091
1538,6980
1539,14446
1540,7877
1541,6624
1542,5659
1543,5659
1544,5659
1545,5524
1546,6624
1547,8017
1548,6906
1549,7633
1550,5168
1551,6339
1552,5168
1553,5524
1554,6624
1555,6624
1556,9091
1557,5524
1558,5524
1559,5524
1560,7633
1561,9091
1562,3989
1563,7633
1564,14446
1565,7633
1566,7633
1567,5524
1568,7134
1569,9091
1570,9091
1571,7633
1572,6906
1573,6906
1574,6074
1575,7633
1576,5868
1577,5168
1578,7633
1579,14446
1580,7134
1581,7467
1582,8608
1583,7134
1584,14446
1585,5524
1586,9091
1587,9091
1588,7633
1589,4961
1590,5868
1591,6339
1592,6906
1593,5690
1594,14446
1595,6906
1596,7633
1597,5168
1598,5524
1599,4961
1600,6624
1601,6074
1602,6906
1603,3213
1604,6906
1605,6624
1606,7134
1607,5091
1608,14446
1609,6624
1610,5690
1611,6624
1612,6624
1613,6906
1614,11824
1615,6906
1616,10928
1617,5921
1618,6906
1619,9091
1620,9091
1621,6624
1622,9091
1623,5659
1624,5008
1625,9091
1626,9091
1627,9091
1628,5921
1629,6624
1630,5659
1631,6837
1632,6624
1633,6624
1634,9091
1635,6980
1636,6980
1637,5524
1638,9091
1639,7464
1640,6906
1641,7633
1642,6624
1643,9091
1644,6980
1645,9091
1646,9091
1647,9091
1648,6906
1649,14446
1650,14446
1651,5008
1652,7633
1653,7633
1654,9091
1655,7633
1656,5524
1657,6980
1658,14446
1659,6624
1660,14446
1661,5524
1662,9091
1663,9091
1664,5524
1665,6420
1666,14446
1667,5168
1668,9091
1669,7633
1670,5659
1671,5659
1672,9091
1673,6906
1674,5659
1675,14446
1676,14325
1677,14446
1678,6980
1679,6906
1680,14446
1681,5168
1682,6624
1683,6624
1684,6980
1685,5524
1686,5524
1687,6339
1688,6906
1689,9091
1690,5659
1691,14446
1692,14446
1693,4142
1694,7134
1695,5168
1696,7134
1697,4614
1698,6906
1699,5659
1700,8465
1701,6980
1702,6074
1703,5524
1704,9091
1705,6980
1706,6980
1707,9091
1708,8608
1709,6906
1710,5168
1711,6339
1712,5659
1713,7633
1714,7633
1715,7633
1716,7633
1717,7633
1718,9091
1719,6980
1720,9091
1721,7633
1722,6980
1723,6624
1724,5659
1725,7633
1726,7633
1727,7633
1728,7633
1729,5524
1730,4754
1731,7633
1732,4754
1733,6906
1734,6624
1735,7633
1736,6906
1737,14446
1738,14446
1739,14446
1740,9091
1741,5524
1742,4961
1743,6906
1744,9091
1745,5524
1746,9091
1747,7633
1748,7633
1749,7134
1750,7633
1751,7633
1752,6906
1753,6624
1754,14446
1755,3641
1756,14446
1757,8163
1758,8074
1759,8074
1760,8074
1761,3641
1762,8074
1763,8074
1764,8074
1765,3641
1766,5355
1767,8017
1768,7527
1769,14325
1770,3641
1771,8074
1772,4823
1773,3641
1774,14446
1775,9157
1776,7633
1777,5355
1778,6583
1779,7877
1780,14446
1781,4823
1782,8074
1783,5659
1784,3641
1785,8074
1786,6906
1787,3157
1788,8074
1789,3157
1790,8074
1791,8608
1792,6624
1793,5524
1794,3157
1795,9157
1796,3641
1797,8074
1798,5659
1799,8074
1800,8074
1801,9211
1802,573
1803,15035
1804,8074
1805,8074
1806,8074
1807,14446
1808,8973
1809,4338
1810,14446
1811,8074
1812,5921
1813,3641
1814,15035
1815,7527
1816,5091
1817,6190
1818,7294
1819,15035
1820,5355
1821,8074
1822,8074
1823,8074
1824,3641
1825,8074
1826,14446
1827,8074
1828,3157
1829,8074
1830,3157
1831,3157
1832,7134
1833,8074
1834,8074
1835,5355
1836,9157
1837,3157
1838,8074
1839,8670
1840,5355
1841,3157
1842,8074
1843,8074
1844,14446
1845,5659
1846,8074
1847,6771
1848,14325
1849,8074
1850,3157
1851,14446
1852,7877
1853,7877
1854,8074
1855,14325
1856,6906
1857,9157
1858,6906
1859,3157
1860,5921
1861,3641
1862,14446
1863,3157
1864,3641
1865,7134
1866,8074
1867,9157
1868,5659
1869,8163
1870,3641
1871,14325
1872,3641
1873,8074
1874,8074
1875,5008
1876,8074
1877,8074
1878,8074
1879,3157
1880,8074
1881,8074
1882,8074
1883,8074
1884,8074
1885,8074
1886,8074
1887,8074
1888,8074
1889,3641
1890,6980
1891,14446
1892,3157
1893,14446
1894,14446
1895,7464
1896,9157
1897,8074
1898,8074
1899,5659
1900,3641
1901,3641
1902,6771
1903,8074
1904,5008
1905,5659
1906,8074
1907,7877
1908,5921
1909,9157
1910,8074
1911,8074
1912,5091
1913,4338
1914,573
1915,7877
1916,8074
1917,3641
1918,8074
1919,5008
1920,3157
1921,15035
1922,8074
1923,8074
1924,9157
1925,8074
1926,5524
1927,8074
1928,8074
1929,8074
1930,3157
1931,3641
1932,8074
1933,15035
1934,5868
1935,6583
1936,4823
1937,573
1938,6339
1939,3641
1940,3641
1941,3641
1942,14325
1943,8074
1944,8074
1945,6583
1946,5921
